CNS,Situação,Nome,UF,Município,Endereço,Bairro,CEP,Column
56523,Ativo,OFÍCIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE CACHOEIRA ALEGRE,MG,BARAO DE MONTE ALTO,LEONOR MARCOS Nº 10,CENTRO,36876000,
56531,Ativo,CARTORIO REGISTRO CIVIL DAS PESSOAS NATURAIS E TABELIONATO DE NOTAS,MG,MATO VERDE,AV. JOAQUIM GOMES - 122,CENTO,39527000,
56549,Ativo,REGISTRO CIVIL DAS PESSOAS NATURAIS E TABELIONATO DE NOTAS MAGALHÃES SOUSA,MG,LIMEIRA DO OESTE,"PRAÇA DUQUE DE CAXIAS, N. 54",CENTRO,38295000,
56556,Ativo,REGISTRO CIVIL DAS PESSOAS NATURAIS INTERDIÇÕES E TUTELAS,MG,IBIRACATU,"PRAÇA LARGO DAS PEDRAS, 43",CENTRO,39455000,
56564,Ativo,"REGISTRO CIVIL DAS PESSOAS NATURAIS, INTERDIÇÕES E TUTELAS DA COMARCA DE CAXAMBU/MG",MG,CAXAMBU,"R. DR. VIOTTI, N. 190, SALA 205",CENTRO,37440000,
56572,Ativo,REGISTRO CIVIL DAS PESSOAS NATURASIS DE CALDAS,MG,CALDAS,"RUA EDUARDO CARLOS PEREIRA, N° 29",CENTRO,37780000,
56580,Ativo,REGISTRO CIVIL DAS PESSOAS NATURIAS,MG,DIVINOPOLIS,AV. DIVINO ESPIRITO SANTO 826,CENTRO,35500021,
56606,Ativo,REGISTRO CIVIL DE PESSOAS NATURAIS COM ATRIBUIÇÃO NOTARIAL,MG,MAR DE ESPANHA,"RUA NAIR GUIMARÃES DE OLIVEIRA, 39",CENTRO,36640000,
56614,Ativo,OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE PONTEVILA,MG,FORMIGA,"RUA PRINCIPAL, 998",CENTRO,35570000,
56622,Ativo,REGISTRO CIVIL DE PESSOAS NATURAIS DE BARRA FELIZ,MG,SANTA BARBARA,"RUA SANTO ANTÔNIO, 48",BARRA FELIZ,35960000,
56630,Ativo,REGISTRO CIVIL DE PESSOAS NATURAIS DE ITUI,MG,SAO JOAO NEPOMUCENO,RUA PRINCIPAL S/N,CENTRO,36684000,
56648,Ativo,REGISTRO CIVIL DE PESSOAS NATURAIS E NOTAS DE IPUIUNA MG,MG,IPUIUNA,"RUA CAPITÃO JOÃO AMÂNCIO, 144",CENTRO,37588000,
56655,Ativo,REGISTRO CIVIL DE PESSOAS NATURAIS E TABELIONATO DE NOTAS,MG,CAPELA NOVA,"RUA PREFEITO ANISIO LOPES DE ASSIS, 115",CENTRO,36290000,
56663,Ativo,"REGISTRO CIVIL DE PESSOAS NATURAIS, DE INTERDIÇÕES E TUTELAS",MG,CAMBUQUIRA,"RUA ALVARES CABRAL, Nº279",REGINA COELI,37420000,
56671,Ativo,REGISTRO CIVIL DO QUARTO SUBDISTRITO,MG,BELO HORIZONTE,"AVENIDA AMAZONAS, 4666",NOVA SUIÇA,30421026,
56689,Ativo,REGISTRO CIVIL E NOTAS,MG,SANTANA DO RIACHO,RUA NOSSA SENHORA DO ROSÁRIO-435,CENTRO,35845000,
56697,Ativo,REGISTRO CIVIL E NOTAS EM OCIDENTE,MG,MUTUM,"RUA HUM, 591",CENTRO,36955000,
56705,Ativo,REGISTRO CIVIL E NOTAS DE JOSÉ RAYDAN,MG,JOSE RAYDAN,RUA DAS FLORES,CENTRO,39775000,
56713,Ativo,REGISTRO CIVIL E NOTAS,MG,UBA,PRAÇA SÃO FRANCISCO,CENTRO,36508000,
56721,Ativo,REGISTRO CIVIL E NOTAS,MG,CANAA,"RUA DOUTOR JUAREZ DE SOUZA CARMO, Nº 199",CENTRO,36592000,
56739,Ativo,OFÍCIO DO REGISTRO CIVIL COM ATRIBUIÇÃO NOTARIAL DE SÃO JOSÉ DO ACÁCIO,MG,ENGENHEIRO CALDAS,"RUA RAFAEL CECCATO, 78",CENTRO,35133000,
56747,Ativo,REGISTRO CIVIL E NOTAS SERVENTIA DE LAGAMAR,MG,LAGAMAR,"RUA PARANÁ, 73",CENTRO,38785000,
56754,Ativo,REGISTRO CIVIL E TABELINATO DE NOTAS,MG,MARMELOPOLIS,"RUA FRANCISCO BRUNO RIBEIRO, 26",CENTRO,37516000,
56762,Ativo,"CARTÓRIO DE DESCOBERTO, MG - REGISTRO CIVIL E TABELIONATO DE NOTAS",MG,DESCOBERTO,"PRAÇA CABOCLO TEIXEIRA, Nº 222 - LOJA 07",CENTRO,36690000,
56770,Ativo,OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE TARUAÇU,MG,SAO JOAO NEPOMUCENO,"RUA PAULO DELAGE, S/Nº",CENTRO,36688000,
56788,Ativo,OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE SANTA BÁRBARA DO MONTE VERDE,MG,RIO PRETO,RUA NILO PEÇANHA 221,CENTRO,36130000,
56796,Ativo,OFÍCIO DO REGISTRO CIVIL COM ATRIBUIÇÃO NOTARIAL DE PADRE PINTO,MG,RIO PIRACICABA,"AV. NOSSA SENHORA AUXILIADORA, Nº 355",CENTRO,35940000,
56804,Ativo,REGISTRO CIVIL E TABELIONATO DE NOTAS,MG,OLIVEIRA,PRAÇA CORONEL ANDRADE Nº483,CENTRO,35541000,
56812,Ativo,OFÍCIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS E TABELIONATO DE NOTAS DE RIO ESPERA,MG,RIO ESPERA,"PRAÇA DA PIEDADE, Nº 208",CENTRO,36460000,
56820,Ativo,SERVIÇO REGISTRAL DAS PESSOAS NATURAIS E NOTARIAL,MG,CORONEL MURTA,"RUA PALMEIRAS, 333",BOA VISTA,39635000,
56838,Ativo,SERVIÇO DE REGISTRO CIVIL E TABELIONATO DE NOTAS,MG,JAPARAIBA,"RUA JOAQUIM JOSÉ LOPES,104",BELA VISTA,35580000,
56846,Ativo,REGISTRO CIVIL E TABELIONATO DE NOTAS,MG,CATAS ALTAS,"RUA NICO BILETO, 32",SOL NASCENTE,35969000,
56853,Ativo,REGISTRO CIVIL E TABELIONATO DE NOTAS,MG,RUBELITA,"AVENIDA MIGUEL ALMEIDA, Nº 134",CENTRO,39565000,
56861,Ativo,REGISTRO CIVIL E TABELIONATO DE NOTAS DO DISTRITO DE MIRAGAIA,MG,UBA,RUA CEL.JOAO FERREIRA DE ANDRADE,CENTRO,36507000,
56879,Ativo,OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE GUARATAIA,MG,ITAMBACURI,"RUA ANTONIO BARBOSA, S/N",CENTRO,39833000,
56887,Ativo,REGISTRO CIVIL E TABELIONATO DE NOTAS DE CAPUTIRA,MG,CAPUTIRA,"AV.MANOEL FRANCISCO DE FREITAS, Nº258 LOJA 03",CENTRO,36925000,
56895,Ativo,REGISTRO CIVIL PESSOAS NATURAIS,MG,CAMPO BELO,"RUA ARTHUR BERNARDES, 3 A, LOJA 01",CENTRO,37270000,
56903,Ativo,1º OFÍCIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS,MG,BUENO BRANDAO,"RUA PREFEITO DOMINGOS DE FRANCO, 242",CENTRO,37578000,
56911,Ativo,REGISTRO CIVIL PESSOAS NATURAIS DE CAETE,MG,CAETE,"AV. PE. VICENTE CORNÉLIO BORGES, 342",JOSÉ BRANDÃO,34800000,
56929,Ativo,OFÍCIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE ALTO CAPIM,MG,AIMORES,"AV. DR. AMÉRICO MARTINS DA COSTA , 144",CENTRO,35210000,
56937,Ativo,CARTÓRIO ROSSI SOARES,MG,PAIVA,"RUA JOÃO HOMEM DE FARIA, 22",CENTRO,36195000,
56945,Ativo,REGISTRO CIVIL TABELIONATO E NOTAS,MG,CAPITAO ENEAS,RUA ALENCASTRO GUIMARÃES- 360,CENTRO,39445000,
56952,Ativo,REGISTRO CIVIL DAS PESSOAS NATURAIS E TABELIONATO DE NOTAS,MG,CARMESIA,"RUA MARIETA FERREIRA SOARES, 200",CENTRO,35878000,
57729,Ativo,REGISTRO CIVIL E TABELIONATO E NOTAS DE PALMEIRAS,MG,LAJINHA,"AV. GIL NUNES DE OLIVEIRA, 240",CENTRO,36980000,
57745,Ativo,REGISTRO CIVIL DAS PESSOAS NATURAIS E NOTAS,MG,LAGOA DOURADA,RUA DOM PEDRO II Nº78,CENTRO,36345000,
57778,Ativo,RIO DO PRADO CARTORIO DE PAZ E NOTAS,MG,RIO DO PRADO,RUA PACIFICO RODRIGUES,CENTRO,39940000,
57810,Ativo,S FCO DE PAULA CART REG CIVIL NOTAS E TABELIONATO,MG,SAO FRANCISCO DE PAULA,"RUA PADRE JOAQUIM CARDOSO, 220",CENTRO,35543000,
57828,Ativo,S.S. DO PONTAL CARTÓRIO REGISTRO CIVIL PESSOAS NATURAIS,MG,CARNEIRINHO,"RUA BRASIL, 177",CENTRO,38292000,
57844,Ativo,SANTA BÁRBARA DO LESTE CARTÓRIO DE REGISTRO CIVIL E NOTAS,MG,SANTA BARBARA DO LESTE,"AV. GERALDO MAGELA, 353",CENTRO,35328000,
57877,Ativo,SANTANA DO MANHUAÇU CARTÓRIO DE PAZ E NOTAS E DE REGISTRO CIVIL,MG,SANTANA DO MANHUACU,"RUA LOPES ABELHA, Nº 98",CENTRO,36940000,
57919,Ativo,OFÍCIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE SÃO JOÃO DO MANHUAÇU,MG,SAO JOAO DO MANHUACU,"AV. SÃO JOÃO BATISTA, 374",CENTRO,36918000,
57927,Ativo,SÃO JOSÉ DO GOIABAL CARTÓRIO DE PAZ,MG,SAO JOSE DO GOIABAL,"RUA ISMAR DE OLIVEIRA BARROS, 44",CENTRO,35986000,
57935,Ativo,OFÍCIO DO REGISTRO CIVIL COM ATRIBUIÇÃO NOTARIAL DE SÃO PEDRO DA GARÇA,MG,MONTES CLAROS,PRAÇA SANTANA S/N,CENTRO,39411000,
57943,Ativo,OFÍCIO DO REGISTRO CIVIL E NOTAS DE SÃO SEBASTIÃO DO ANTA,MG,SAO SEBASTIAO DO ANTA,"AV. JOSÉ ANTÔNIO SANTANA, Nº 534",CENTRO,35334000,
58040,Ativo,SEGUNDO SUBDISTRITO DE REGISTRO CIVIL DAS PESSOAS NATURAIS DE BELO HORIZONTE - MG,MG,BELO HORIZONTE,RUA GUARANI  251,CENTRO,30120040,
58149,Ativo,SERRANIA CARTORIO DO REGISTRO CIVIL,MG,SERRANIA,RUA EXPEDICIONARIOS 719,CENTRO,37143000,
58156,Ativo,OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE MILHO VERDE,MG,SERRO,"RUA DO ROSARIO, 100",CENTRO,39155000,
58164,Ativo,OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE SÃO GONÇALO DO RIO DAS PEDRAS,MG,SERRO,RUA DA CACHOEIRA,CENTRO,39153000,
58172,Ativo,SERVENTIA DE REGISTRO CIVIL DAS PESSOAS NATURAIS,MG,LAJINHA,"RUA MADALENA SATHLER, 26",SAGRADA FAMÍLIA,36980000,
58180,Ativo,SERVIÇO REGISTRAL DAS PESSOAS NATURAIS E TABELIONATO DE NOTAS,MG,BRASILÂNDIA DE MINAS,"RUA LINDORIFO BATISTA, Nº 720",CENTRO,38779000,
58198,Ativo,REGISTRO CIVIL DAS PESSOAS NATURAIS C/ ATRIBUIÇÕES DE NOTAS DE SÃO SEBASTIÃO DO SACRAMENTO,MG,MANHUACU,"RUA SÃO SEBASTIÃO, 77",CENTRO,36908000,
58255,Ativo,OFÍCIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE DELFINÓPOLIS,MG,DELFINOPOLIS,AV. PADRE IVO SOARES DE MATOS 384,CENTRO,37910000,
58297,Ativo,SERVENTIA DO REGISTRO CIVIL DAS PESSOAS NATURAIS DO MUNICÍPIO DE RIO CASCA,MG,RIO CASCA,"AV. GETÚLIO VARGAS, 87-A",CENTRO,35370000,
58305,Ativo,SERVENTIA DO REGISTRO CIVIL E NOTAS,MG,SANTA MARGARIDA,PRAÇA CÔNEGO ARNALDO 26,CENTRO,36913000,
58354,Ativo,OFÍCIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE CRUZEIRO DA FORTALEZA,MG,CRUZEIRO DA FORTALEZA,"AVENIDA NOSSA SENHORA DE FATIMA, 1403",CENTRO,38735000,
58370,Ativo,SERVIÇO DE REGISTRO CIVIL COM ATRIBUIÇAO DE NOTAS DE PENHA DO NORTE,MG,CONSELHEIRO PENA,"AV. ALTIVO SATURNINO PEREIRA, Nº 634, DISTRITO DE PENHA DO N",PENHA DO NORTE,35241000,
58388,Ativo,SERVIÇO DE REGISTRO CIVIL DAS PESSOAS NATURAIS,MG,BURITIS,"AVENIDA CENTRAL, 513",CENTRO,38660000,
58396,Ativo,SERVIÇO DE REGISTRO CIVIL DAS PESSOAS NATURAIS,MG,MONTES CLAROS,"RUA DR. VELOSO, Nº  866",CENTRO,39400074,
58404,Ativo,SERVIÇO DE REGISTRO CIVIL DAS PESSOAS NATURAIS DE BOA VISTA DE MINAS,MG,NOVA SERRANA,"RUA JEFERSON BATISTA, N. 282",SÃO GERALDO,35517000,
58412,Ativo,SERVIÇO DE REGISTRO CIVIL DAS PESSOAS NATURAIS DO DISTRITO DE VENDA NOVA,MG,BELO HORIZONTE,"AV. VILARINHO, Nº 2851",VENDA NOVA,31615250,
58420,Ativo,SERVIÇO DE REGISTRO CIVIL DE NOTAS DE SERRANÓPOLIS DE MINAS,MG,SERRANOPOLIS DE MINAS,"PRAÇA NOSSA SENHORA DA CONCEIÇÃO,132.",CENTRO,39518000,
58438,Ativo,SERVIÇO DE REGISTRO CIVIL DE PESSOAS NATURAIS DE BRUMAL,MG,SANTA BARBARA,"PRAÇA SANTO AMARO, 1773",CENTRO,35966000,
58446,Ativo,SERVIÇO DE REGISTRO CIVIL DE TRÊS CORAÇÕES,MG,TRES CORACOES,"RUA EDSON ARANTES DO NASCIMENTO, N.402",CENTRO,37410000,
58453,Ativo,SERVIÇO DE REGISTRO CIVIL E NOTAS,MG,NOVA UNIAO,RUA: MANOEL SYRIO - 50,CENTRO,34990000,
58461,Ativo,SERVIÇO DE REGISTRO CIVIL E NOTAS,MG,SAO LOURENCO,"AV. ANTÔNIO JUNQUEIRA DE SOUZA, 365 - LOJA 02",CENTRO,37470000,
58479,Ativo,SERVIÇO DE REGISTRO CIVIL E NOTAS DO DISTRITO DE GRAMÍNEA,MG,ANDRADAS,"RUA ALBERTINA, Nº 36,",CENTRO,37795000,
58487,Ativo,OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE ITAIPÉ,MG,ITAIPE,"RUA CORONEL PEDRO MENDES, Nº 03",CENTRO,39815000,
58495,Ativo,SERVIÇO DE REGISTRO CIVIL E TABELIONATO DE NOTAS,MG,TURVOLANDIA,"PRAÇA DOM OTAVIO, 53",CENTRO,37496000,
58669,Ativo,SERVIÇO DE REGISTRO CIVIL DAS PESSOAS NATURAIS,MG,EXTREMA,"RUA SETE DE SETEMBRO, 260",CENTRO,37640000,
58701,Ativo,SERVIÇO DO REGISTRO CIVIL DAS PESSOAS NATRUAIS E NOTAS,MG,ITAPEVA,RUA JUSCELINO KUBITSCHEK DE OLIVEIRA,CENTRO,37655000,
58719,Ativo,SERVIÇO DO REGISTRO CIVIL DAS PESSOAS NATURAIS,MG,MINAS NOVAS,RUA 02 DE OUTUBRO Nº 14,CENTRO,39650000,
58727,Ativo,CARTÓRIO INDEPENDÊNCIA,MG,RESPLENDOR,"RUA NELSON MACHADO, 189",CENTRO,35236000,
58735,Ativo,"SERVIÇO DO REGISTRO CIVIL DAS PESSOAS NATURAIS, INTERDIÇÕES E AUSÊNCIAS",MG,RESPLENDOR,"RUA NOSSA SENHORA MON SERRATT, Nº 253",CENTRO,35230000,
58743,Ativo,SERVIÇO DO REGISTRO CIVIL E NOTAS DO DISTRITO DE GORUTUBA,MG,PORTEIRINHA,"RUA D, N°100",POVOADO DE BOM JESUS,39520000,
58750,Ativo,CARTÓRIO SERRANOS,MG,SERRANOS,"RUA PRINCESA ISABEL, 95",CENTRO,37452000,
59048,Ativo,SERVIÇO NOTARIAL E REGISTRAL,MG,SAO GERALDO DO BAIXIO,"AVENIDA MESSIAS GONÇALVES, 698",CENTRO,35258000,
59055,Ativo,SERVIÇO NOTARIAL E REGISTRAL,MG,SÃO JOÃO DO ORIENTE,"RUA SEBASTIÃO TAVARES, Nº 285",SANTA MARIA DO BAXIO,35146000,
59097,Ativo,SERVICO REG CIVIL PESSOAS NATURAIS E NOTAS DIST SÃO BRAS DE MINAS,MG,LAGAMAR,"RUA PARANÁ, 89-A",CENTRO,38785000,
59105,Ativo,"SERVIÇO REGISTRAL DAS PESSOAS NATURAIS, INTERDIÇÕES E TUTELAS",MG,SALINAS,"RUA RIO PARDO, 95",CENTRO,39560000,
59113,Ativo,REGISTRO CIVIL DAS PESSOAS NATURAIS DE MONTE SIÃO - MG,MG,MONTE SIAO,"RUA ANTÔNIO GOTARDELO SOBRINHO, 310",PARQUE ANTONIETA,37580000,
59121,Ativo,OFÍCIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS,MG,ABRE CAMPO,"CALÇADÃO HERMESÍLIA MILAGRES, 04",CENTRO,35365000,
59139,Ativo,SERVIÇO REGISTRAL CIVIL DAS PESSOAS NATURAIS,MG,ITAUNA,"AVENIDA GETÚLIO VARGAS, 128",CENTRO,35680037,
59147,Ativo,SERVIÇO REGISTRAL CIVIL DAS PESSOAS NATURAIS,MG,ITUMIRIM,"RUA SÃO JOSÉ, 75",CENTRO,37210000,
59154,Ativo,OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE MACUCO DE MINAS,MG,ITUMIRIM,"RUA JOSÉ ANTÔNIO DE SOUZA, S/Nº",CENTRO,37212000,
59162,Ativo,OFÍCIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE ARAÚJOS,MG,ARAÚJOS,"RUA BOM DESPACHO, 1.766",CENTRO,35603000,
59170,Ativo,SERVIÇO REGISTRAL CIVIL E PN E NOTARIAL,MG,QUARTEL GERAL,"RUA PADRE LUÍS, 943, QUARTEL GERAL/MG",CENTRO,35625000,
59196,Ativo,SERVIÇO REGISTRAL DAS PESSOAS NATURAIS,MG,UBERLANDIA,"AV. VASCONCELOS COSTA, 141",MARTINS,38400448,
59204,Ativo,SERVIÇO REGISTRAL DAS PESSOAS NATURAIS,MG,PATROCINIO,"RUA PRESIDENTE VARGAS, Nº 1525, SALA 09",CENTRO,38740032,
59212,Ativo,OFÍCIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DE SACRAMENTO - MG,MG,SACRAMENTO,RUA PROFESSOR RABELO Nº. 469,CENTRO,38190000,
59220,Ativo,SERVIÇO REGISTRAL DAS PESSOAS NATURAIS,MG,AIMORES,"AV.DR. AMERICO MARTINS DA COSTA, 144",CENTRO,35200000,
59238,Ativo,SERVIÇO REGISTRAL DAS PESSOAS NATURAIS,MG,GUAXUPE,"AV. CONDE RIBEIRO DO VALLE, Nº 1110",CENTRO,37800000,
59246,Ativo,SERVIÇO REGISTRAL DAS PESSOAS NATURAIS,MG,MONTE ALEGRE DE MINAS,"RUA CASTRO ALVES, 283, BAIRRO PRUDENTE",PRUDENTE,38475000,
59253,Ativo,SERVIÇO REGISTRAL DAS PESSOAS NATURAIS,MG,ARAGUARI,"PRAÇA FARID NADER, 176",CENTRO,38440135,
59261,Ativo,SERVIÇO REGISTRAL DAS PESSOAS NATURAIS,MG,MONTE CARMELO,"AVENIDA BELO HORIZONTE, 518, SALA 101",CENTRO,38500000,
59279,Ativo,OFÍCIO DO 3º REGISTRO CIVIL DAS PESSOAS NATURAIS - CARTÓRIO VILA ISA,MG,GOVERNADOR VALADARES,"AV. ENGENHEIRO ROBERTO LASSANCE, Nº 1200",VILA ISA,35044080,
59287,Ativo,SERVIÇO REGISTRAL DAS PESSOAS NATURAIS E  NOTAS DO DISTRITO DE COCO,MG,MOEDA,"RUA PREFEITO JOSÉ EMILIO, N° 06",CENTRO,35470000,
59295,Ativo,"SERVIÇO REGISTRAL DAS PESSOAS NATURAIS, INTERDIÇÕES E TUTELAS DE CURVELO-MG",MG,CURVELO,"RUA JOAQUIM FELÍCIO, 18 - SALA 208",CENTRO,35790000,
59485,Ativo,CARTÓRIO DE REGISTRO CIVIL - 1º SUBDISTRITO,MG,SANTOS DUMONT,"AFONSO PENA, 302",CENTRO,36240000,
59493,Ativo,SERVIÇO REGISTRAL DE PESSOAS NATURAIS,MG,SANTA BARBARA,"PRAÇA CÔNEGO LACERDA, Nº 04",CENTRO,35956000,
59501,Ativo,SERVIÇO REGISTRAL DE PESSOAS NATURAIS DE CONCEIÇÃO DO RIO ACIMA,MG,SANTA BARBARA,"RUA DE CIMA, Nº 186",CENTRO,35960000,
59519,Ativo,SERVIÇO REGISTRAL DE PESSOAS NATURAIS DE CONSELHEIRO LAFAIETE,MG,CONSELHEIRO LAFAIETE,"RUA ASSIS ANDRADE, Nº. 570",CENTRO,36400000,
59527,Ativo,SERVIÇO REGISTRAL DE PESSOAS NATURAIS E NOTAS,MG,MOEDA,"RUA PREFEITO JOSÉ EMILIO, N° 06",CENTRO,35470000,
59683,Ativo,SERVIÇO REGISTRAL E NOTARIAL DE SÃO VICENTE DA ESTRELA,MG,RAUL SOARES,FRANCISCO PINTO 86,CENTRO,35355000,
59691,Ativo,SERVIÇO REGISTRAL E NOTARIAL DE VERMELHO VELHO,MG,RAUL SOARES,"RUA CARLINDO BRANDÃO, 62",CENTRO,35354000,
59709,Ativo,OFICIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS E NOTAS DE PLAUTINO SOARES,MG,SOBRALIA,"RUA SÃO CRISTÓVÃO, 26",CENTRO,35144000,
59717,Ativo,SERVIÇO REGISTRAL E NOTARIAL DE SARDOÁ,MG,SARDOA,"RUA PADRE SADY RABELO, 27, LOJA 3,",CENTRO,39728000,
59725,Ativo,SERVIÇO REGISTRAL E TABELIONATO DE NOTAS DITRITO DE BUARQUE DE MACEDO,MG,CONSELHEIRO LAFAIETE,RUA BERNARDINO ALBANO FERNANDES Nº 11,CENTRO,36413000,
59790,Ativo,OFÍCIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE SANTO HIPÓLITO,MG,SANTO HIPOLITO,"RUA MISAEL CAMILO, Nº 54",CENTRO,39210000,
59808,Ativo,SERVIÇO REGISTRAL PEREIRA,MG,AGUAS FORMOSAS,"AV. BIAS FORTES, 7 A",CENTRO,39880000,
59816,Ativo,SERVIÇO REGISTRAL PRIVATIVO CIVIL DAS PESSOAS NATURAIS,MG,SAO GONCALO DO SAPUCAI,RUA BELMIRO DE MEDEIROS 155,CENTRO,37490000,
59832,Ativo,SERVIÇO REGISTRO CIVIL E NOTAS,MG,SABINOPOLIS,RUA JOSE QUINTINO DOS SANTOS 312,CENTRO,39753000,
59840,Ativo,SERVIÇO REGISTRO CIVIL NOTAS FUNILÂNDIA-MG,MG,FUNILANDIA,"RUA TRISTÃO VIEIRA, 107",CENTRO,35736000,
59857,Ativo,SERVIÇO REGISTRO CIVIL DAS PESSOAS NATURAIS,MG,SABINOPOLIS,RUA: ALENCAR  JOSÉ  PIMENTA  Nº 98,CENTRO,39750000,
59915,Ativo,SIMONÉSIA CARTÓRIO DE PAZ E NOTAS E DO REGISTRO CIVIL,MG,SIMONESIA,"AVENIDA GOVERNADOR VALADARES, Nº 145",CENTRO,36930000,
59923,Ativo,REGISTRO CIVIL DAS PESSOAS NATURAIS DE TRÊS PONTAS,MG,TRES PONTAS,"RUA FRANCISCO GARCIA DE MIRANDA JÚNIOR, 131",CENTRO,37190000,
60004,Ativo,SERVIÇO NOTARIAL DO 2º OFICIO DE NOTAS E ANEXOS,MG,PEDRO LEOPOLDO,EM BRANCO,CENTRO,33600000,
60020,Ativo,TABELIONATO DE NOTAS,MG,CARLOS CHAGAS,"RUA TEOFILO OTONI, NÚMERO  558",CENTRO,39866000,
60053,Ativo,OFÍCIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS COM ATRIBUIÇÃO NOTARIAL DE MARILÂNDIA,MG,ITAPECERICA,"RUA RIBEIRO PENA, 220",CENTRO,35553000,
60202,Ativo,OFICIAL DE REGISTRO CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS,SP,MOGI DAS CRUZES,"AV NARCISO YAGUE GUIMARAES, 766",CENTRO,8780000,
61028,Ativo,TABELIONATO DE REGISTRO CIVIL E NOTAS,MG,BURITIZEIRO,AVENIDA MANOEL JOAQUIM DE MELO Nº 199,CENTRO,39280000,
61358,Ativo,TAPUIRAMA CARTORIO DE PAZ E NOTAS,MG,UBERLANDIA,PRAÇA SAID JORGE Nº 105,CENTRO,38439600,
61366,Ativo,TEJUCO CARTORIO REGISTRO CIVIL E NOTAS,MG,JANUARIA,"RUA PRESIDENTE JUSCELINO, S/Nº",TEJUCO,39484000,
61465,Ativo,OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS,MG,TOLEDO,"RUA PAPA JOÃO PAULO II, Nº.200",JARDIM BOM JESUS,37630000,
61531,Ativo,REGISTRO CIVIL DAS PESSOAS NATURAIS COM ATRIBUIÇÃO DE NOTAS DE FUNCHAL,MG,SAO GOTARDO,"RUA AUGUSTO VETE, 287",DISTRITO DE VILA FUNCHAL,38800000,
61549,Ativo,VILA NOVA DE MINAS CARTORIO DE PAZ E NOTAS,MG,MONTES CLAROS,RUA PRINCIPAL N° 2,VILA NOVA DE MINAS,39415000,
61556,Ativo,VIRGÍNIA CARTÓRIO DO REGISTRO CIVIL E NOTAS,MG,VIRGINIA,"RUA CEL. ANTÔNIO DA ROCHA BRITO, 215",CENTRO,37465000,
61580,Ativo,SERVIÇO NOTARIAL E DE REGISTRO CIVIL AMORIM BARBOSA,MS,ROCHEDO,"RUA BAHIA, N.º 263",CENTRO,79450000,
61606,Ativo,SERVIÇO NOTARIAL E DE REGISTRO CIVIL DE SONORA,MS,SONORA,"RUA DA JUSTIÇA, N° 117",CENTRO,79415000,
61630,Ativo,SERVIÇO NOTARIAL E DE REGISTRO CIVL DE SANTA RITA DO PARDO,MS,SANTA RITA DO PARDO,"RUA: DEP. JULIO CÉSAR PAULINO MAIA, 1568",CENTRO,79690000,
61655,Ativo,SERVIÇO NOTARIAL E DE REGISTRO CIVIL,MS,ELDORADO,AV. TANCREDO DE ALMEIDA NEVES. 885,CENTRO,79970000,
61697,Ativo,SERVIÇO NOTARIAL E DE REGISTRO CIVIL,MS,ITAQUIRAI,"AVENIDA MATO GROSSO Nº 1.449, SALA A",CENTRO,79965000,
61705,Ativo,SERVIÇO NOTARIAL E REGISTRO CIVIL,MS,SAO GABRIEL DO OESTE,AV GETULIO VARGAS 943,CENTRO,79490000,
61721,Ativo,2° SERVIÇO NOTARIAL E DE REGISTRO CIVIL,MS,AQUIDAUANA,"RUA AUGUSTO MASCARENHAS, 467",CENTRO,79200000,
61739,Ativo,2º SERVIÇO NOTARIAL E DE REGISTRO CIVIL,MS,FATIMA DO SUL,RUA MARECHAL RONDON 1392,CENTRO,79700000,
61770,Ativo,SERVIÇO NOTARIAL E DE REGISTRO CIVIL DE PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS,MS,SIDROLANDIA,"RUA LÚCIA DE SOUZA MELLO, 257",CENTRO,79170000,
61788,Ativo,SERVIÇO NOTARIAL E DE REGISTRO CIVIL,MS,DEODAPOLIS,AV. GENÁRIO DA COSTA MATOS - 633,CENTRO,79790000,
